Organization Name,Emission Year,Facility Name,Source Name,Activity Type,Fuel Type,Fuel,End Use Sector,Technology,CO2e
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Bolsa Chica Ecological Reserve,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",1.83502
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Business & Contracts,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",4.0827
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Butte Valley Wildlife Area,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",18.95602
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Butte Valley Wildlife Area,LIQUIFIED PETROLEUM GAS,Mobile Combustion - Scope 1,Alternative Fuels,Liquefied Petroleum Gas (LPG),Light Duty Vehicles,Unspecified Technology,5.98107
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Butte Valley Wildlife Area,Diesel,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),30.66063
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Butte Valley Wildlife Area,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,143.63848
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Butte Valley Wildlife Area,Propane,Stationary Combustion - Scope 1,Petroleum Products,Propane,Commercial,Unspecified Technology,14.85822
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Buttonwillow Ecological Reserve,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,2.4712
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Cal Fire & CDF/DFG,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",127.90704
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Cal Fire & CDF/DFG,COMPRESSED NATURAL GAS,Mobile Combustion - Scope 1,Alternative Fuels,Compressed Natural Gas (CNG),Light Duty Vehicles,Unspecified Technology,0.08892
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Camp Cady Wildlife Area,Diesel,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),2.40956
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Camp Cady Wildlife Area,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,8.3403
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Canada de San Vicente Ecological Reserve,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,13.9005
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Canada de San Vicente Ecological Reserve,Propane,Stationary Combustion - Scope 1,Petroleum Products,Propane,Commercial,Unspecified Technology,2.58817
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Canebrake Ecological Reserve,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,4.9424
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Canebrake Ecological Reserve,Propane,Stationary Combustion - Scope 1,Petroleum Products,Propane,Commercial,Unspecified Technology,6.12664
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Cantara Field Office,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,25.6387
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Cantara New Springs Wildlife Area,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,13.9005
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Carrizo Plains Ecological Reserve,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,13.2827
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Carrizo Plains Ecological Reserve,Propane,Stationary Combustion - Scope 1,Petroleum Products,Propane,Commercial,Unspecified Technology,24.3165
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Central Valley Bay Delta Branch,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",157.23224
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Central Valley Bay Delta Branch,DIESEL,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),39.60459
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Central Valley Bay Delta Branch,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,16.3717
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Chico Check Pump,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,95.75898
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Chino Hills,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,13.9005
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,City of Eureka Marina,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,1.2356
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,City of Eureka Marina,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,0.10604
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Coho (Boat),DIESEL,Mobile Combustion - Scope 1,Diesel Fuel,All,Non-Highway,Ships and Boats,35.09177
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Coho (Boat),GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",0.15804
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Cosumnes River Ecological Reserve,DIESEL,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),1.81738
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Cosumnes River Ecological Reserve,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",9.91262
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fortuna Field Office 1,PROPANE,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,0.38663
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Cresent City Storage Unit,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",13.39828
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Crystal Lake Fish Hatchery,DIESEL,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),49.46745
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Crystal Lake Fish Hatchery,LIQUIFIED PETROLEUM GAS,Mobile Combustion - Scope 1,Alternative Fuels,Liquefied Petroleum Gas (LPG),Light Duty Vehicles,Unspecified Technology,58.82061
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Crystal Lake Fish Hatchery,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",50.24794
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Crystal Lake Fish Hatchery,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,69.19359
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Crystal Lake Fish Hatchery,PROPANE,Stationary Combustion - Scope 1,Petroleum Products,Propane,Commercial,Unspecified Technology,14.26568
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Darrah Springs Fish Hatchery,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",48.31634
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Darrah Springs Fish Hatchery,DIESEL,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),18.73535
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Darrah Springs Fish Hatchery,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,223.02576
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Darrah Springs Fish Hatchery,PROPANE,Stationary Combustion - Scope 1,Petroleum Products,Propane,Commercial,Unspecified Technology,1.48694
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Darrah Springs Fish Hatchery,NATURAL GAS,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,91.37467
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,DFG HQ,AVIATION FUEL,Mobile Combustion - Scope 1,Aircraft Fuel,Aviation Gasoline,Aircraft,Unspecified Technology,6.18264
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,DFG HQ,COMPRESSED NATURAL GAS,Mobile Combustion - Scope 1,Alternative Fuels,Compressed Natural Gas (CNG),Light Duty Vehicles,Unspecified Technology,0.25309
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,DFG HQ,DIESEL,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),0.13273
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,DFG HQ,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",195.19696
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,DFG HQ,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,421.95733
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,DFG HQ,NATURAL GAS,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,363.47861
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,DFG HQ,PROPANE,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,0.08285
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Eden Landing Ecological Reserve,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,1.2356
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Elk Grove Toxicology Lab,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,27.4921
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Elk Grove Toxicology Lab,NATURAL GAS,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,0.74758
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Elkhorn Slough Ecological Reserve,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",7.0679
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Elkhorn Slough Ecological Reserve,Diesel,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),6.3302
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Elkhorn Slough Ecological Reserve,LIQUIFIED PETROLEUM GAS,Mobile Combustion - Scope 1,Alternative Fuels,Liquefied Petroleum Gas (LPG),Light Duty Vehicles,Unspecified Technology,0.97272
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Elkhorn Slough Ecological Reserve,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,48.49729
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Elkhorn Slough Ecological Reserve,Propane,Stationary Combustion - Scope 1,Petroleum Products,Propane,Commercial,Unspecified Technology,18.73768
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Engineering,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",123.81556
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Engineering,COMPRESSED NATURAL GAS,Mobile Combustion - Scope 1,Alternative Fuels,Compressed Natural Gas (CNG),Light Duty Vehicles,Unspecified Technology,0.26677
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Engineering,PROPANE,Stationary Combustion - Scope 1,Petroleum Products,Propane,Commercial,Unspecified Technology,0.1118
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Eureka Field Office,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",63.44428
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Eureka Field Office,DIESEL,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),1.92969
California Department of General Services,2010,Lease#2543001,,SEM: Purchased Electricity - Scope 2,N\A,N\A,N\A,N\A,2.0198164
California Department of General Services,2010,Lease#5751001,,SEM: Purchased Electricity - Scope 2,N\A,N\A,N\A,N\A,109.1416354
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Eureka Field Office,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,33.97899
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Eureka Field Office,NATURAL GAS,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,27.36362
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Eureka Field Office,PROPANE,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,0.13808
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Eureka THP Office,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",1.42236
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Eureka THP Office,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,34.250747
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fall River Mills Ecological Reserve,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,2.1623
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fall River Mills Ecological Reserve,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,4.48019
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Feather River Fish Hatchery,DIESEL,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),0.05105
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Feather River Fish Hatchery,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",10.56234
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Kern River Planting Base,Propane,Stationary Combustion - Scope 1,Petroleum Products,Propane,Commercial,Unspecified Technology,66.29181
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Feather River Fish Hatchery,LIQUIFIED PETROLEUM GAS,Mobile Combustion - Scope 1,Alternative Fuels,Liquefied Petroleum Gas (LPG),Light Duty Vehicles,Unspecified Technology,0.84534
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Feather River Fish Hatchery,NATURAL GAS,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,40.66634
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Feather River Fish Hatchery,PROPANE,Stationary Combustion - Scope 1,Petroleum Products,Propane,Commercial,Unspecified Technology,5.07572
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fillmore Fish Hatchery,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",31.67824
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fillmore Fish Hatchery,DIESEL,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),20.10349
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fillmore Fish Hatchery,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,920.83074
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fillmore Fish Hatchery,NATURAL GAS,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,19.6174
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fish Springs Fish Hatchery,DIESEL,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),30.4258
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fish Springs Fish Hatchery,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",29.61494
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fish Springs Fish Hatchery,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,282.02565
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fish Springs Fish Hatchery,PROPANE,Stationary Combustion - Scope 1,Petroleum Products,Propane,Commercial,Unspecified Technology,123.44956
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Gray Lodge Wildlife Area,Propane,Stationary Combustion - Scope 1,Petroleum Products,Propane,Commercial,Unspecified Technology,21.89603
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fort Bragg Field Office,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",45.20822
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fort Bragg Field Office,DIESEL,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),5.16626
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fort Bragg Field Office,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,4.0157
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fort Bragg Fisheries Field Office,DIESEL,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),3.72665
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fort Bragg Fisheries Field Office,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",30.01882
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fort Bragg Fisheries Field Office,PROPANE,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,83.45348
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fortuna Field Office 1,DIESEL,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),0.21441
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fortuna Field Office 1,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",52.1532
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fortuna Field Office 1,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,12.0471
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fortuna Field Office 2,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",18.72774
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fortuna Field Office 2,PROPANE,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,1.86411
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Fresno Trout Office,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,37.68579
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Gold River Trout Office,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",7.024
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Gold River Trout Office,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,0.6178
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Granite Canyon Marine Lab,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,33.36119
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Gray Lodge Wildlife Area,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",90.4779
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Gray Lodge Wildlife Area,Diesel,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),119.24259
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Gray Lodge Wildlife Area,LIQUIFIED PETROLEUM GAS,Mobile Combustion - Scope 1,Alternative Fuels,Liquefied Petroleum Gas (LPG),Light Duty Vehicles,Unspecified Technology,13.18383
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Gray Lodge Wildlife Area,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,293.14605
California Department of Food and Agriculture,2010,Needles Ag. Inspection Station,Purchased Electricity,Purchased Electricity - Scope 2,WECC Southwest,All,All,Unspecified Technology,61.74872
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Grizzly Island Wildlife Area,Diesel,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),63.26116
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Grizzly Island Wildlife Area,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",59.64254
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Grizzly Island Wildlife Area,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,253.29796
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Hallelujah Junction Wildlife Area,ELECTRICITY,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,3.3979
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Hallelujah Junction Wildlife Area,PROPANE,Stationary Combustion - Scope 1,Petroleum Products,Propane,Commercial,Unspecified Technology,0.97825
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Home-Based,GASOLINE,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2001)",3875.94856
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Home-Based,COMPRESSED NATURAL GAS,Mobile Combustion - Scope 1,Alternative Fuels,Compressed Natural Gas (CNG),Light Duty Vehicles,Unspecified Technology,5.80047
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,Home-Based,DIESEL,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Medium and Heavy-Duty Vehicles (Model Years 1960-2008),4.68639
